"","Estimate","Std. Error","MCMC %","z value","Pr(>|z|)","Village","Variable","lower_ci","upper_ci","lower_ci_90","upper_ci_90"
"b1cov.age",-0.0168203625454337,0.0309101956912015,0,-0.544168749802563,0.586325354268601,"Mandena","Age",-0.0774043461001886,0.0437636210093212,-0.0676631100378862,0.0340223849470188
"b1factor.gender.Male",-0.00568803703723342,0.0546511349218456,0,-0.104079028649042,0.917106633175167,"Mandena","Gender[Male]",-0.112804261484051,0.101428187409584,-0.0955811545304454,0.0842050804559785
"b1factor.vanilla.Yes",0.0809305423063824,0.0692778144394864,0,1.16820287939474,0.242724939314654,"Mandena","Vanilla Farmer",-0.054853973995011,0.216715058607776,-0.0330213220416778,0.194882406654443
"b1cov.land",0.030241005411885,0.026172105076099,0,1.15546706403459,0.247899212554617,"Mandena","Land Size",-0.021056320537269,0.0815383313610389,-0.0128082765474914,0.0732902873712614
"b1cov.size",0.0296408811225904,0.0264483006823164,0,1.12071022931196,0.262411226546805,"Mandena","Household Size",-0.0221977882147497,0.0814795504599305,-0.0138627021814207,0.0731444644266016
"b1cov.school",-0.0189651073042885,0.0307376101819502,0,-0.617000059276737,0.537234686623298,"Mandena","School Level",-0.0792108232609108,0.0412806086523338,-0.0695239768958897,0.0315937622873127
"b1cov.cgsol",0.0235595136855953,0.0296631332414832,0,0.794235507550761,0.427058341009566,"Mandena","CGSOL",-0.0345802274677118,0.0816992548389023,-0.0252319986134031,0.0723510259845937
"b1cov.hsol",0.091689496054428,0.032154809695894,0,2.85150174799934,0.00435132470174337,"Mandena","HSOL",0.0286660690504757,0.15471292305838,0.0387995407022024,0.144579451406654
"b2factor.species.Zebu",-2.32845846867485,0.303953490622591,0,-7.66057485934917,1.85102657171116e-14,"Mandena","Zebu",-2.92420731029513,-1.73270962705457,-2.82841747014998,-1.82849946719972
"b1cov.cgsol:b2factor.species.Zebu",-0.155062238665593,0.155564567350617,0,-0.996770931237236,0.318875711075559,"Mandena","CGSOL:Zebu",-0.459968790672802,0.149844313341617,-0.410943181497392,0.100818704166207
