"","Estimate","Std. Error","MCMC %","z value","Pr(>|z|)","Village","Variable","lower_ci","upper_ci","lower_ci_90","upper_ci_90"
"b1cov.age",-0.0168203625454345,0.0309101956912015,0,-0.544168749802589,0.586325354268584,"Mandena","Age",-0.0774043461001894,0.0437636210093204,-0.067663110037887,0.034022384947018
"b1factor.gender.Male",-0.00568803703723349,0.0546511349218456,0,-0.104079028649043,0.917106633175166,"Mandena","Gender[Male]",-0.112804261484051,0.101428187409584,-0.0955811545304454,0.0842050804559785
"b1factor.vanilla.Yes",0.0809305423063775,0.0692778144394864,0,1.16820287939467,0.242724939314682,"Mandena","Vanilla Farmer",-0.0548539739950159,0.216715058607771,-0.0330213220416828,0.194882406654438
"b1cov.land",0.0302410054118851,0.026172105076099,0,1.1554670640346,0.247899212554614,"Mandena","Land Size",-0.0210563205372688,0.0815383313610391,-0.0128082765474913,0.0732902873712615
"b1cov.size",0.02964088112259,0.0264483006823164,0,1.12071022931194,0.262411226546811,"Mandena","Household Size",-0.02219778821475,0.0814795504599301,-0.0138627021814211,0.0731444644266012
"b1cov.school",-0.0189651073042884,0.0307376101819502,0,-0.617000059276734,0.5372346866233,"Mandena","School Level",-0.0792108232609107,0.0412806086523339,-0.0695239768958896,0.0315937622873128
"b1cov.cgsol",0.0235595136855959,0.0296631332414832,0,0.794235507550783,0.427058341009553,"Mandena","Commercial Goods",-0.0345802274677112,0.081699254838903,-0.0252319986134025,0.0723510259845943
"b1cov.hsol",0.0916894960544286,0.032154809695894,0,2.85150174799936,0.00435132470174308,"Mandena","House Materials",0.0286660690504764,0.154712923058381,0.038799540702203,0.144579451406654
"b2factor.species.Zebu",-2.32845846867486,0.303953490622591,0,-7.66057485934922,1.85102657171041e-14,"Mandena","Zebu",-2.92420731029514,-1.73270962705458,-2.82841747014999,-1.82849946719973
"b1cov.cgsol:b2factor.species.Zebu",-0.155062238665595,0.155564567350617,0,-0.996770931237251,0.318875711075552,"Mandena","Commercial Goods:Zebu",-0.459968790672805,0.149844313341615,-0.410943181497394,0.100818704166205
"b1cov.hsol:b2factor.species.Zebu",-0.255813735817457,0.143765307790191,0,-1.77938432956849,0.0751767738050947,"Mandena","House Materials:Zebu",-0.537593739086232,0.0259662674513181,-0.492286623765948,-0.0193408478689661
"b1factor.vanilla.Yes:b2factor.species.Zebu",0.158981317828518,0.332599358299178,0,0.477996465902716,0.63265272042244,"Mandena","Vanilla:Zebu",-0.49291342443787,0.810876060094906,-0.388095942991616,0.706058578648653
"b2factor.sex.Male",0.376671117545234,0.0606370331815886,0,6.21189886413513,5.2348117044741e-10,"Mandena","Animal Sex[Male]",0.257822532509321,0.495519702581148,0.276932073588922,0.476410161501547
"b1cov.age1",-0.00221392815529955,0.00940336671998002,0,-0.235439946268974,0.813867284665086,"Sarahandrano","Age",-0.0206445269264604,0.0162166706158613,-0.0176810900102134,0.0132532336996143
"b1factor.gender.Male1",0.00962137434541533,0.0188990796576465,0,0.509092216113421,0.610687587595796,"Sarahandrano","Gender[Male]",-0.0274208217835718,0.0466635704744025,-0.0214648453755093,0.04070759406634
"b1factor.vanilla.Yes1",-0.00435428104335189,0.0384668548235957,0,-0.113195660610156,0.909875435888805,"Sarahandrano","Vanilla Farmer",-0.0797493164975996,0.0710407544108958,-0.0676266267173591,0.0589180646306553
"b1cov.land1",0.0131804665944894,0.00847567437918766,0,1.55509355419015,0.119923789887802,"Sarahandrano","Land Size",-0.00343185518871845,0.0297927883776972,-0.000760777148977123,0.0271217103379559
"b1cov.size1",0.000767131170589668,0.00945571634123636,0,0.0811288265114522,0.935339501002225,"Sarahandrano","Household Size",-0.0177660728582336,0.0193003351994129,-0.0147861381487173,0.0163204004898966
"b1cov.school1",0.00202172889631842,0.0097706546244802,0,0.206918469030008,0.836073532448887,"Sarahandrano","School Level",-0.0171287541676628,0.0211722119602996,-0.014049567800448,0.0180930255930848
"b1cov.cgsol1",0.0124296576062823,0.0141751283127989,0,0.87686385138817,0.380560592634707,"Sarahandrano","Commercial Goods",-0.0153535938868035,0.0402129090993681,-0.0108863536115274,0.035745668824092
"b1cov.hsol1",0.0225911374055534,0.0140432385653561,0,1.60868430030694,0.107685390428181,"Sarahandrano","House Materials",-0.00493361018254465,0.0501158849936514,-0.00050793448281744,0.0456902092939242
"b2factor.species.Zebu1",-0.472919685152678,0.100316981225846,0,-4.71425355282553,2.42598425143137e-06,"Sarahandrano","Zebu",-0.669540968355337,-0.276298401950019,-0.637926435566834,-0.307912934738522
"b1cov.cgsol:b2factor.species.Zebu1",-0.0361015190645741,0.0421821361872168,0,-0.855848525649455,0.392081570125244,"Sarahandrano","Commercial Goods:Zebu",-0.118778505991519,0.0465754678623709,-0.105484958764679,0.0332819206355305
"b1cov.hsol:b2factor.species.Zebu1",-0.0288354056915021,0.0413371223249335,0,-0.697566837498732,0.485448126844412,"Sarahandrano","House Materials:Zebu",-0.109856165448372,0.0521853540653676,-0.0968289212754056,0.0391581098924014
"b1factor.vanilla.Yes:b2factor.species.Zebu1",-0.0763848407914229,0.109249205948777,0,-0.699179825867446,0.484439656648818,"Sarahandrano","Vanilla:Zebu",-0.290513284451026,0.137743602868181,-0.256083793437837,0.103314111854992
"b2factor.sex.Male1",0.185378583279787,0.0347145062756892,0,5.34008986927776,9.29005173376487e-08,"Sarahandrano","Animal Sex[Male]",0.117338150979436,0.253419015580138,0.12827830172439,0.242478864835184
"b1cov.age2",0.00489223057849538,0.00905535895842553,0,0.540258050614705,0.589019083837524,"Andatsakala","Age",-0.0128562729800187,0.0226407341370094,-0.0100025094476184,0.0197869706046091
"b1factor.gender.Male2",0.0488047724030794,0.01766507254718,0,2.76278358171082,0.00573107525961158,"Andatsakala","Gender[Male]",0.0141812302106066,0.0834283145955521,0.0197483137534895,0.0778612310526692
"b1factor.vanilla.Yes2",0.0250361943501069,0.0369217976687548,0,0.678087090306924,0.497716475562509,"Andatsakala","Vanilla Farmer",-0.0473305290806525,0.0974029177808663,-0.0356947584589128,0.0857671471591266
"b1cov.land2",0.0212405472549503,0.00809374573227937,0,2.62431610252334,0.00868231642755556,"Andatsakala","Land Size",0.00537680561968278,0.0371042888902179,0.00792752023158763,0.034553574278313
"b1cov.size2",0.00877030745561123,0.00932438555452674,0,0.940577521631276,0.346921405647213,"Andatsakala","Household Size",-0.00950548823126117,0.0270461031424836,-0.00656694194284598,0.0241075568540684
"b1cov.school2",-0.0152312578471996,0.00956212260814809,0,-1.59287414221406,0.111188428153513,"Andatsakala","School Level",-0.0339730181591699,0.00351050246477065,-0.0309595499005667,0.00049703420616745
"b1cov.cgsol2",-0.030755440534092,0.0136097664170463,0,-2.25980664117575,0.0238332540553316,"Andatsakala","Commercial Goods",-0.0574305827115028,-0.00408029835668122,-0.053141514187133,-0.00836936688105103
"b1cov.hsol2",0.0291805200498414,0.0129256592285327,0,2.25756532289099,0.0239727726398705,"Andatsakala","House Materials",0.00384622796191729,0.0545148121377655,0.00791970258705062,0.0504413375126322
"b2factor.species.Zebu2",-0.571738663140474,0.102580237592437,0,-5.57357515013817,2.49563922748841e-08,"Andatsakala","Zebu",-0.772795928821649,-0.370681397459298,-0.740468138997937,-0.40300918728301
"b1cov.cgsol:b2factor.species.Zebu2",-0.0100796682011395,0.0386805843311798,0,-0.260587278486753,0.794410801115278,"Andatsakala","Commercial Goods:Zebu",-0.0858936134902518,0.0657342770879728,-0.0737035676308828,0.0535442312286038
"b1cov.hsol:b2factor.species.Zebu2",0.0227042930736516,0.0362416381647698,0,0.626469834791361,0.531006816593661,"Andatsakala","House Materials:Zebu",-0.0483293177292972,0.0937379038766005,-0.0369078969083329,0.0823164830556362
"b1factor.vanilla.Yes:b2factor.species.Zebu2",0.00592969944624344,0.108467619314982,0,0.0546679228666761,0.956403024975261,"Andatsakala","Vanilla:Zebu",-0.206666834411122,0.218526233303609,-0.172483657590797,0.184343056483283
"b2factor.sex.Male2",0.140802595375128,0.0294656564067995,0,4.77853245253469,1.76579266046033e-06,"Andatsakala","Animal Sex[Male]",0.083049908817801,0.198555281932455,0.092335903563898,0.189269287186358
