"","Estimate","Std. Error","MCMC %","z value","Pr(>|z|)","Village","Variable","lower_ci","upper_ci","lower_ci_90","upper_ci_90"
"b1cov.age",0.0270969743805216,0.0466958816757749,0,0.580286171030348,0.561721651550524,"Mandena","Age",-0.0644269537039972,0.118620902465041,-0.0497109159575735,0.103904864718617
"b1factor.gender.Male",-0.0399300784190782,0.0858326525907117,0,-0.465208486675608,0.641782161805313,"Mandena","Gender[Male]",-0.208162077496873,0.128301920658717,-0.181112228343776,0.10125207150562
"b1factor.vanilla.Yes",0.146972846893674,0.105499995756708,0,1.39310760952642,0.163587252363972,"Mandena","Vanilla Farmer",-0.0598071447894725,0.353752838576821,-0.026559203770111,0.32050489755746
"b1cov.land",-0.00357048123245492,0.0395331686942118,0,-0.0903160902702366,0.92803603421899,"Mandena","Land Size",-0.08105549187311,0.0739145294082001,-0.0685967571440135,0.0614557946791036
"b1cov.size",0.0407897273580493,0.0398132581573058,0,1.02452623186189,0.30558678726968,"Mandena","Household Size",-0.0372442586302701,0.118823713346369,-0.0246972547227504,0.106276709438849
"b1cov.school",-0.0438214023789142,0.0452147818283389,0,-0.969183099130839,0.332453842023087,"Mandena","School Level",-0.132442374762458,0.04479957000463,-0.118193100261077,0.0305502955032485
"b1cov.cgsol",0.0346824466551352,0.0447728898229562,0,0.774630513962328,0.438558021154483,"Mandena","Commercial Goods",-0.0530724173978589,0.122437310708129,-0.0389624035592529,0.108327296869523
"b1cov.hsol",0.0776827229792031,0.0461755311518037,0,1.68233523343388,0.0925038526173391,"Mandena","House Materials",-0.0128213180783322,0.168186764036738,0.00173073308774808,0.153634712870658
"b2factor.species.Zebu",-2.20487276734623,0.439497292359605,0,-5.01680625950742,5.25374990762394e-07,"Mandena","Zebu",-3.06628746037105,-1.3434580743214,-2.92778148271928,-1.48196405197318
"b1cov.cgsol:b2factor.species.Zebu",0.136245169372806,0.204707474136193,0,0.665560307202861,0.505692184338104,"Mandena","Commercial Goods:Zebu",-0.264981479934132,0.537471818679744,-0.200468661924185,0.472959000669797
"b1cov.hsol:b2factor.species.Zebu",-0.21522447984355,0.228490305204995,0,-0.94194140819435,0.346222638461981,"Mandena","House Materials:Zebu",-0.663065478045339,0.23261651835824,-0.591057587083234,0.160608627396135
"b1factor.vanilla.Yes:b2factor.species.Zebu",-0.220436883247647,0.512893314740657,0,-0.42979090760641,0.667347747522191,"Mandena","Vanilla:Zebu",-1.22570778013933,0.78483401364404,-1.06407131223798,0.623197545742685
"b2factor.sex.Male",0.272431439130371,0.0831411735246736,0,3.27673314653807,0.00105015570725574,"Mandena","Animal Sex[Male]",0.109474739022011,0.435388139238731,0.13567637830931,0.409186499951432
"b1cov.age1",-0.0467377121034833,0.0260150667622896,0,-1.79656321971207,0.072404987844526,"Sarahandrano","Age",-0.0977272429575709,0.00425181875060424,-0.08952868902282,-0.00394673518414665
"b1factor.gender.Male1",-0.0597447436667068,0.0485051180791118,0,-1.23172040462335,0.218053544968806,"Sarahandrano","Gender[Male]",-0.154814775101766,0.0353252877683523,-0.139528563064843,0.0200390757314296
"b1factor.vanilla.Yes1",-0.166361252881137,0.0731663379919744,0,-2.27374032166794,0.0229816042971669,"Sarahandrano","Vanilla Farmer",-0.309767275345406,-0.022955230416867,-0.286709169297993,-0.0460133364642804
"b1cov.land1",0.0489953006672429,0.0184061232954816,0,2.66190223115969,0.00777004436442264,"Sarahandrano","Land Size",0.0129192990080989,0.0850713023263868,0.018719922006554,0.0792706793279318
"b1cov.size1",0.0504782591576281,0.0239699397195763,0,2.10589846066248,0.0352131734249211,"Sarahandrano","Household Size",0.00349717730725857,0.0974593410079976,0.0110512168720749,0.0899053014431813
"b1cov.school1",0.00780667678219263,0.0260153252223682,0,0.30007992271726,0.764116193251922,"Sarahandrano","School Level",-0.043183360653649,0.0587967142180343,-0.0349847252661418,0.0505980788305271
"b1cov.cgsol1",0.00594212827012494,0.0296453989809544,0,0.200440151739649,0.841136360040021,"Sarahandrano","Commercial Goods",-0.0521628537325457,0.0640471102727956,-0.0428202137661214,0.0547044703063713
"b1cov.hsol1",0.0824655381554603,0.0282130838732364,0,2.92295370920755,0.00346728059848212,"Sarahandrano","House Materials",0.0271678937639168,0.137763182547004,0.0360591448190812,0.128871931491839
"b2factor.species.Zebu1",-0.56809154096074,0.134956670996658,0,-4.20943653074258,2.560083437175e-05,"Sarahandrano","Zebu",-0.83260661611419,-0.30357646580729,-0.79007551073089,-0.34610757119059
"b1cov.cgsol:b2factor.species.Zebu1",-0.0472836302123188,0.0607807893104238,0,-0.777937087503564,0.436606102789336,"Sarahandrano","Commercial Goods:Zebu",-0.166413977260749,0.0718467168361118,-0.147259131958543,0.052691871533905
"b1cov.hsol:b2factor.species.Zebu1",-0.0665708959565427,0.0593791324431445,0,-1.12111600856217,0.262238485293019,"Sarahandrano","House Materials:Zebu",-0.182953995545106,0.0498122036320206,-0.164240877320881,0.0310990854077954
"b1factor.vanilla.Yes:b2factor.species.Zebu1",-0.0856368758011136,0.148578664591636,0,-0.576373976953449,0.564362430016826,"Sarahandrano","Vanilla:Zebu",-0.37685105840072,0.205577306798492,-0.330027031142272,0.158753279540044
"b2factor.sex.Male1",0.154705447305356,0.0480694458079347,0,3.2183738486084,0.00128919666208088,"Sarahandrano","Animal Sex[Male]",0.0604893335218037,0.248921561088908,0.0756382450226271,0.233772649588084
"b1cov.age2",-0.00146740350888746,0.0176590471264922,0,-0.083096415020381,0.933774876388688,"Andatsakala","Age",-0.0360791358768122,0.0331443288590372,-0.0305139512234051,0.0275791442056302
"b1factor.gender.Male2",0.00585033909479918,0.0329758123152092,0,0.177413039559934,0.85918396569562,"Andatsakala","Gender[Male]",-0.0587822530430108,0.0704829312326092,-0.0483900453935437,0.060090723583142
"b1factor.vanilla.Yes2",0.0871328975026906,0.0603111432958035,0,1.4447230269759,0.148535699248799,"Andatsakala","Vanilla Farmer",-0.0310769433570842,0.205342738362465,-0.0120701052930016,0.186335900298383
"b1cov.land2",0.0213318902127133,0.0145609434585752,0,1.46500742025412,0.14291889329236,"Andatsakala","Land Size",-0.00720755896609399,0.0498713393915207,-0.00261873044695933,0.045282510872386
"b1cov.size2",0.00913349290547752,0.0179050970563351,0,0.510105746801631,0.609977379301265,"Andatsakala","Household Size",-0.0259604973249393,0.0442274831358943,-0.0203177709285534,0.0385847567395084
"b1cov.school2",-0.0212263476182113,0.017642086753512,0,-1.20316535763468,0.228912337687769,"Andatsakala","School Level",-0.0558048376550947,0.0133521424186721,-0.0502449980017179,0.00779230276529536
"b1cov.cgsol2",-0.0229111144873786,0.0224202882116956,0,-1.02189205914966,0.306831991248246,"Andatsakala","Commercial Goods",-0.066854879382302,0.0210326504075448,-0.0597892068696835,0.0139669778949263
"b1cov.hsol2",0.0369897229862877,0.0199723930640452,0,1.85204261040093,0.064019704417064,"Andatsakala","House Materials",-0.0021561674192408,0.0761356133918163,0.00413805981599262,0.0698413861565828
"b2factor.species.Zebu2",-0.545392653412969,0.140117148177545,0,-3.89240475207139,9.92554720542431e-05,"Andatsakala","Zebu",-0.820022263840958,-0.27076304298498,-0.775864852790902,-0.314920454035037
"b1cov.cgsol:b2factor.species.Zebu2",-0.0343900454482754,0.0531171727572221,0,-0.647437423024355,0.517348882210704,"Andatsakala","Commercial Goods:Zebu",-0.138499704052431,0.06971961315588,-0.1217600197114,0.0529799288148494
"b1cov.hsol:b2factor.species.Zebu2",0.020656195170806,0.0505644663036241,0,0.408512077370141,0.682897765610362,"Andatsakala","House Materials:Zebu",-0.0784501587842972,0.119762549125909,-0.0625149506235756,0.103827340965187
"b1degree0",3.76864967392347,0.416967918398124,0,9.03822454351304,1.59237008923167e-19,"Andatsakala","Vanilla:Zebu",2.95139255386314,4.58590679398379,3.08279848102391,4.45450086682302
"b1degree1",2.06336075852723,0.361560775465139,0,5.70681583441337,1.15109211906332e-08,"Andatsakala","Animal Sex[Male]",1.35470163861556,2.77201987843891,1.46864620564001,2.65807531141446
